datetime,city,vehicle_count,weather,day_of_week,temperature_celsius,humidity,hour,is_peak_hour,road_segment
2024-01-01 00:00:00,Chennai,759,Mist,Monday,36.0,85,0,0,Anna Nagar
2024-01-01 01:00:00,Chennai,559,Cloudy,Monday,33.1,71,1,0,T Nagar
2024-01-01 02:00:00,Chennai,799,Clear,Monday,37.5,71,2,0,OMR
2024-01-01 03:00:00,Chennai,686,Clear,Monday,30.1,85,3,0,Adyar
2024-01-01 04:00:00,Chennai,272,Cloudy,Monday,33.4,71,4,0,Tambaram
2024-01-01 05:00:00,Chennai,631,Clear,Monday,37.7,83,5,0,Anna Nagar
2024-01-01 06:00:00,Chennai,1555,Mist,Monday,35.1,63,6,0,T Nagar
2024-01-01 07:00:00,Chennai,2112,Cloudy,Monday,26.9,88,7,0,OMR
2024-01-01 08:00:00,Chennai,4425,Rain,Monday,28.4,83,8,1,Adyar
2024-01-01 09:00:00,Chennai,4207,Haze,Monday,32.4,60,9,1,Tambaram
2024-01-01 10:00:00,Chennai,6125,Mist,Monday,33.0,78,10,1,Anna Nagar
2024-01-01 11:00:00,Chennai,1135,Haze,Monday,33.9,70,11,0,T Nagar
2024-01-01 12:00:00,Chennai,1688,Cloudy,Monday,34.1,61,12,0,OMR
2024-01-01 13:00:00,Chennai,841,Drizzle,Monday,26.7,69,13,0,Adyar
2024-01-01 14:00:00,Chennai,2389,Haze,Monday,32.4,73,14,0,Tambaram
2024-01-01 15:00:00,Chennai,1124,Haze,Monday,33.5,79,15,0,Anna Nagar
2024-01-01 16:00:00,Chennai,1772,Haze,Monday,32.6,72,16,0,T Nagar
2024-01-01 17:00:00,Chennai,3805,Drizzle,Monday,29.4,80,17,1,OMR
2024-01-01 18:00:00,Chennai,3560,Cloudy,Monday,35.1,88,18,1,Adyar
2024-01-01 19:00:00,Chennai,6167,Mist,Monday,25.2,78,19,1,Tambaram
2024-01-01 20:00:00,Chennai,3656,Rain,Monday,36.4,75,20,1,Anna Nagar
2024-01-01 21:00:00,Chennai,1168,Mist,Monday,34.6,61,21,0,T Nagar
2024-01-01 22:00:00,Chennai,891,Drizzle,Monday,28.8,63,22,0,OMR
2024-01-01 23:00:00,Chennai,250,Drizzle,Monday,27.8,76,23,0,Adyar
2024-01-02 00:00:00,Chennai,348,Cloudy,Tuesday,31.6,87,0,0,Tambaram
2024-01-02 01:00:00,Chennai,258,Cloudy,Tuesday,26.1,68,1,0,Anna Nagar
2024-01-02 02:00:00,Chennai,161,Rain,Tuesday,34.3,68,2,0,T Nagar
2024-01-02 03:00:00,Chennai,382,Rain,Tuesday,27.1,71,3,0,OMR
2024-01-02 04:00:00,Chennai,480,Mist,Tuesday,32.4,81,4,0,Adyar
2024-01-02 05:00:00,Chennai,469,Clear,Tuesday,28.2,77,5,0,Tambaram
2024-01-02 06:00:00,Chennai,1818,Rain,Tuesday,36.6,80,6,0,Anna Nagar
